GrLivArea,SalePrice
1,9
1,9
1,10
1,9
2,10
2,12
2,24
2,36
2,34
3,45
3,45
3,64
3,75
4,89
4,88
4,73
4,61
5,61
6,69
7,64
7,61
7,61
7,63
8,63
8,62
8,69
8,68
8,68
9,70
9,78
9,92
9,109
10,122
10,123
10,124
10,121
11,122
11,123
11,125
11,132
11,132
11,139
12,155
12,159
12,162
12,160
13,158
13,194
13,180
13,183
13,157
14,200
14,193
